Property_ID,Listing_Title,Property_Type,Listing_Type,Created_F,Created,Scraped_F,Scraped,Latitude,Longitude,Airbnb_PID,Airbnb_HID
ab-1861367,"1-Bedroom, Whistler, Cascade Lodge",Other,Entire home/apt,10/29/13,2013-10-29,8-26-17,2017-08-26,50.11654772,-122.9588201,1861367,661691
ab-1861391,1-Bedroom in Whistler at Sundance ,Other,Entire home/apt,10/29/13,2013-10-29,8-28-17,2017-08-28,50.09266342,-122.9930732,1861391,661691
ab-1861454,"1-Bedroom Plus, Whistler - Sundance",Other,Entire home/apt,3/20/17,2017-03-20,8-27-17,2017-08-27,50.09316129,-122.9925291,1861454,661691
ab-1861466,2-Bedroom in Whistler at Sundance,Other,Entire home/apt,1/12/17,2017-01-12,8-27-17,2017-08-27,50.09326555,-122.9944351,1861466,661691
ab-1861478,"2-Bedroom Plus, Whistler - Sundance",Other,Entire home/apt,1/12/17,2017-01-12,8-26-17,2017-08-26,50.09101413,-122.9929145,1861478,661691
ab-9977539,'Glacier Lodge' Ski in Studio with Pool & Hot Tub next to Adventure Zone!,Condominium,Entire home/apt,12/13/15,2015-12-13,4-6-18,2018-04-06,50.1166093,-122.9478606,9977539,35393628
ab-9978237,Whistler Mountain View Home,Chalet,Entire home/apt,10/21/17,2017-10-21,5-24-19,2019-05-24,50.1438,-122.96943,9978237,51273682
ab-19196574,Northstar by Elevate Real Estate Management,Entire apartment,Entire home/apt,6/7/17,2017-06-07,3-7-18,2018-03-07,50.11915331,-122.9599666,19196574,134284463
ab-18610290,Bright south facing chalet in excellent location,Chalet,Entire home/apt,5/5/17,2017-05-05,5-24-19,2019-05-24,50.12384,-122.94783,18610290,80282357
ab-12633406,Village Stroll 2 Bedroom 2 Bathroom 410,Apartment,Entire home/apt,4/22/16,2016-04-22,7-23-17,2017-07-23,50.11575555,-122.9539412,12633406,17197633
ab-9992112,Whistler Chalet,Chalet,Entire home/apt,10/29/18,2018-10-29,5-24-19,2019-05-24,50.13019,-122.96722,9992112,51335699
ab-9993024,Center of Whistler Village Condo,Apartment,Entire home/apt,12/14/15,2015-12-14,11-21-17,2017-11-21,50.11815719,-122.9549774,9993024,25659940
ab-9993135,'Glacier Lodge' Hotel Room w/ Pool & Hot Tub next to Adventure Zone!,Condominium,Entire home/apt,12/14/15,2015-12-14,4-6-18,2018-04-06,50.11676033,-122.9482491,9993135,35393628
ab-1861489,2-Bedroom Loft Whistler at Sundance,Other,Entire home/apt,1/12/17,2017-01-12,8-27-17,2017-08-27,50.09107925,-122.9936561,1861489,661691
ab-9999875,Ski in Ski out-Woodrun 309,Condominium,Entire home/apt,12/14/15,2015-12-14,12-27-16,2016-12-27,50.11617109,-122.9427026,9999875,9450001
ab-13391950,"Free Parking, Hot tub, near village, Valley Trail.",Condominium,Private room,6/6/16,2016-06-06,5-21-19,2019-05-21,50.1183,-122.94256,13391950,76065920
ab-10036101,Supreme Location! Newly updated w/private HotTub,Entire condominium,Entire home/apt,12/16/15,2015-12-16,12-12-17,2017-12-12,50.11668492,-122.9599986,10036101,7761771
ab-10038499,The Aspens 2 Br Ski In Ski Out,Townhouse,Entire home/apt,12/16/15,2015-12-16,10-18-16,2016-10-18,50.11517181,-122.9456932,10038499,41850542
ab-10042051,Creekside Townhouse,Townhouse,Entire home/apt,12/17/15,2015-12-17,1-13-19,2019-01-13,50.09381368,-122.9922405,10042051,10494121
ab-208256,"Lake Placid ~ Spacious Creekside Lofted 1BD, 2BA",Apartment,Entire home/apt,8/26/11,2011-08-26,5-21-19,2019-05-21,50.09302,-122.99102,208256,683972
ab-10042617,Cozy Creekside Getaway,Apartment,Entire home/apt,12/17/15,2015-12-17,5-22-19,2019-05-22,50.09633,-122.99372,10042617,51546447
ab-16932949,"NorthStar 1 bed - Village - hot tub, pool, parking",Townhouse,Entire home/apt,1/23/17,2017-01-23,8-1-17,2017-08-01,50.11921134,-122.9587391,16932949,27668645
ab-10056984,Ski Whistler Blackcomb 2 bathroom,Apartment,Entire home/apt,3/7/17,2017-03-07,4-9-17,2017-04-09,50.12144784,-122.9378022,10056984,13232844
ab-3875021,Alpine Chalet 4 BR & loft home,House,Entire home/apt,3/6/17,2017-03-06,5-24-19,2019-05-24,50.1511,-122.96762,3875021,14013252
ab-19199837,Whistler One BR Deluxe at Mountainside Lodge #02,Condominium,Entire home/apt,10/30/17,2017-10-30,5-21-19,2019-05-21,50.11365,-122.95291,19199837,118085755
ab-10059303,Whistler Town Plaza One Bedroom,Condominium,Entire home/apt,12/18/15,2015-12-18,7-16-17,2017-07-16,50.11656774,-122.9544263,10059303,28317820
ab-212798,Marketplace Lodge ~ Beautifully Updated 1BD Condo,Apartment,Entire home/apt,9/1/11,2011-09-01,5-22-19,2019-05-22,50.1209,-122.95626,212798,683972
ab-10074059,Loft studio in Whistler Creekside.,Loft,Entire home/apt,12/18/15,2015-12-18,11-15-18,2018-11-15,50.09829976,-122.9908272,10074059,51689517
ab-10074706,"Whistler 1 BR CONDO, Slps 4, 2 beds. Cascade Lodge",Condominium,Entire home/apt,1/2/17,2017-01-02,1-12-19,2019-01-12,50.11733748,-122.9578518,10074706,4385059
ab-14029269,Renovated Ski In 1 BRw/ pool & hot tub access!,Condominium,Entire home/apt,7/15/16,2016-07-15,5-27-17,2017-05-27,50.09524926,-122.991794,14029269,35393628
ab-10088879,Private Room walk to lift ski out.,Guesthouse,Private room,1/12/19,2019-01-12,2-12-19,2019-02-12,50.10976,-122.96886,10088879,687269
ab-10089041,"Bright, Clean Whistler studio in great location!",Apartment,Entire home/apt,7/22/17,2017-07-22,5-24-19,2019-05-24,50.097,-122.9915,10089041,33577633
ab-10089644,Fully Renovated ! Ski-in Ski-out,Condominium,Entire home/apt,12/19/15,2015-12-19,5-24-19,2019-05-24,50.11529,-122.94411,10089644,27383344
ab-19205826,Whistler Two bedroom Retreat,Townhouse,Entire home/apt,6/7/17,2017-06-07,7-21-18,2018-07-21,50.1233309,-122.9747145,19205826,134379742
ab-213666,Woods 56 ~ Gorgeous Rustic 2BD Unit,Apartment,Entire home/apt,9/2/11,2011-09-02,7-4-17,2017-07-04,50.12223312,-122.935703,213666,683972
ab-213690,Snowberry ~ Fully Updated & Spacious 2BD + Loft,Apartment,Entire home/apt,9/2/11,2011-09-02,5-20-19,2019-05-20,50.1198,-122.93908,213690,683972
ab-216757,Fantastic Whistler Studio - hot tub,Apartment,Entire home/apt,9/6/11,2011-09-06,8-8-17,2017-08-08,50.11610078,-122.9591495,216757,1118905
ab-12652014,Comfy Alpine Bedroom in Full Suite!,House,Private room,4/23/16,2016-04-23,1-18-17,2017-01-18,50.15604157,-122.9615449,12652014,68725016
ab-3876733,Whistler's favorite B&B - enjoy catered breakfast!,Bed and breakfast,Private room,8/13/14,2014-08-13,5-23-19,2019-05-23,50.12238,-122.94948,3876733,3004958
ab-16944306,whistler village centre walk 128,Apartment,Entire home/apt,1/24/17,2017-01-24,4-25-17,2017-04-25,50.11518205,-122.9532928,16944306,40233896
ab-19767500,Modern 1 Bedroom View Suite,Guest suite,Entire home/apt,7/7/17,2017-07-07,7-24-17,2017-07-24,50.15798913,-122.9541265,19767500,139517926
ab-6555077,"Quiet, Lagoons Stoney Ck 2 brm Townhome",Townhouse,Entire home/apt,5/24/15,2015-05-24,5-22-19,2019-05-22,50.11918,-122.95958,6555077,17102636
ab-12653404,Stoney Creek at Northstar,Townhouse,Entire home/apt,4/23/16,2016-04-23,5-24-19,2019-05-24,50.12036,-122.95862,12653404,68730642
ab-10119177,Creekside Townhouse Loft,Loft,Entire home/apt,12/21/15,2015-12-21,6-8-18,2018-06-08,50.09773558,-122.9882318,10119177,51929472
ab-10122571,Whistler Village Center! 1BR/1BA - 2 Beds Sleeps 4,Apartment,Entire home/apt,12/21/15,2015-12-21,5-21-19,2019-05-21,50.1137,-122.95388,10122571,317618
ab-16944583,Marquise ~ Slopeside Upper Village 1Bdrm Condo,Apartment,Entire home/apt,1/24/17,2017-01-24,5-22-19,2019-05-22,50.11666,-122.94422,16944583,683972
ab-10123819,Steps to Blackcomb w/ Pool & Hot Tub by Harmony Whistler,Apartment,Entire home/apt,12/21/15,2015-12-21,5-23-19,2019-05-23,50.1178,-122.94793,10123819,35393628
ab-10124642,Studio close to Creekside gondola,Apartment,Entire home/apt,12/21/15,2015-12-21,3-18-17,2017-03-18,50.09865989,-122.990394,10124642,51904495
ab-1898641,True Ski-In Ski-Out 4 Bedroom,House,Entire home/apt,11/6/13,2013-11-06,5-22-19,2019-05-22,50.09393,-122.98712,1898641,1616015
ab-11395630,Cascade Lodge-3,Condominium,Entire home/apt,2/19/16,2016-02-19,5-23-19,2019-05-23,50.11726,-122.95825,11395630,58385754
ab-10137686,Whistler Studio in Village Center!,Entire apartment,Entire home/apt,12/22/15,2015-12-22,3-17-18,2018-03-17,50.1152318,-122.9556132,10137686,317618
ab-10138157,Chateau Chardonnay 3 Bedroom 3 Bath,House,Entire home/apt,12/22/15,2015-12-22,5-23-19,2019-05-23,50.15508,-122.96494,10138157,66549
ab-222916,Mountain Star ~ Deluxe Slopeside 3BD w/Hot Tub,Apartment,Entire home/apt,9/14/11,2011-09-14,5-23-19,2019-05-23,50.11394,-122.94017,222916,683972
ab-7518507,"2 bedroom clean, and comfortable",Apartment,Entire home/apt,5/16/17,2017-05-16,7-13-17,2017-07-13,50.10450021,-122.9811534,7518507,28497945
ab-19209493,Marketplace 1 Bedroom + Den. Free Parking And WiFi,Apartment,Entire home/apt,6/8/17,2017-06-08,7-16-17,2017-07-16,50.11822983,-122.95638,19209493,68581273
ab-19209581,Spacious 3 bdrm + 2 bath with mountain views,Condominium,Entire home/apt,8/14/17,2017-08-14,5-21-19,2019-05-21,50.11345,-122.96788,19209581,11528608
ab-10154392,Whistler Village - Dear  Lodge - 2,Apartment,Entire home/apt,12/23/15,2015-12-23,5-22-19,2019-05-22,50.11775,-122.95431,10154392,1747164
ab-1907107,True Ski-In Ski-Out 5 Bed Chalet,House,Entire home/apt,11/7/13,2013-11-07,5-21-19,2019-05-21,50.0958,-122.98536,1907107,1616015
ab-10165937,Whistler Village Northstar - 2 Bedroom Townhouse,Condominium,Entire home/apt,12/24/15,2015-12-24,5-23-19,2019-05-23,50.12077,-122.95784,10165937,52185440
ab-10175081,Marquise 608 2+loft near lifts,Condominium,Entire home/apt,12/24/15,2015-12-24,5-24-19,2019-05-24,50.11649,-122.94341,10175081,22619214
ab-10176628,WEST-in 2bdrm WHISTLER BASE Hotel,Serviced apartment,Entire home/apt,12/24/15,2015-12-24,2-24-19,2019-02-24,50.11245,-122.95437,10176628,7784624
ab-10179121,Whistler Sundance 1 bedroom or 1 bedroom plus unit,Apartment,Entire home/apt,11/21/16,2016-11-21,5-22-19,2019-05-22,50.09114,-122.99447,10179121,103427
ab-10179556,Family Vacation Home,Condominium,Entire home/apt,12/25/15,2015-12-25,11-30-18,2018-11-30,50.11431309,-122.9697443,10179556,52274568
ab-11397876,1BR Condo w/ hot tub right in the Whistler Village,Apartment,Entire home/apt,2/19/16,2016-02-19,5-21-19,2019-05-21,50.11769,-122.95732,11397876,17939866
ab-18618188,Heart of Whistler Village,Resort,Private room,5/6/17,2017-05-06,5-20-19,2019-05-20,50.1154,-122.95269,18618188,40246730
ab-10194040,Two Bedroom Suite in Luxury Chalet,Chalet,Entire home/apt,12/25/15,2015-12-25,5-22-19,2019-05-22,50.09797,-122.99983,10194040,2313433
ab-13398378,"3BR - Cozy Whistler Cabin, 5 min walk to Creekside",Townhouse,Entire home/apt,6/6/16,2016-06-06,5-22-19,2019-05-22,50.09791,-122.98663,13398378,76244091
ab-10211827,The Northstar at Whistler,Apartment,Entire home/apt,1/9/17,2017-01-09,3-15-19,2019-03-15,50.11219,-122.9502,10211827,7784624
ab-10220367,"Spacious 3 Bed, 2.5 Bath Townhome",Townhouse,Entire home/apt,12/27/15,2015-12-27,5-23-19,2019-05-23,50.12165,-122.95875,10220367,52517364
ab-1917744,"Whistler, a 4 Season Resort",Apartment,Entire home/apt,11/10/13,2013-11-10,5-19-17,2017-05-19,50.11904389,-122.9555689,1917744,3495487
ab-10235587,Luxurious Montebello - best views!,Townhouse,Entire home/apt,12/28/15,2015-12-28,5-21-19,2019-05-21,50.12329,-122.95774,10235587,50698162
ab-12657295,Heart of Whistler Private Hot Tub 305,Apartment,Entire home/apt,5/9/17,2017-05-09,8-31-17,2017-08-31,50.11559529,-122.9572282,12657295,17197633
ab-12657557,Heart of Whistler Private Hot Tub,Condominium,Entire home/apt,5/9/17,2017-05-09,8-18-17,2017-08-18,50.11675721,-122.9548338,12657557,17197633
ab-5334095,cozy Whistler cabin with hot tub.,Cabin,Entire home/apt,2/10/15,2015-02-10,9-20-18,2018-09-20,50.14858302,-122.9681391,5334095,2817358
ab-10246918,Whistler Village Centre Studio Size Condo,Condominium,Entire home/apt,3/16/17,2017-03-16,5-20-19,2019-05-20,50.11769,-122.95415,10246918,52651623
ab-10249627,Creekside Casita,Townhouse,Entire home/apt,9/18/17,2017-09-18,5-20-19,2019-05-20,50.09253,-122.99383,10249627,52685042
ab-10251062,4 Bedroom Cabin in the meadows,Chalet,Entire home/apt,12/29/15,2015-12-29,12-11-18,2018-12-11,50.145211,-122.9655122,10251062,52694357
ab-10253022,Creekside Chalet near Alpha Lake,House,Entire home/apt,12/29/15,2015-12-29,10-19-16,2016-10-19,50.0918902,-122.9988365,10253022,52706624
ab-10254915,1BR Condo Whistler Resort and Club,Condominium,Entire home/apt,12/29/15,2015-12-29,3-31-18,2018-03-31,50.09687684,-122.9955093,10254915,26650418
ab-10260474,Beautifully renovated 2 bed unit,Apartment,Entire home/apt,12/29/15,2015-12-29,2-18-17,2017-02-18,50.11479706,-122.9460963,10260474,25751978
ab-17845152,"3 bedroom, spacious, unobstructed mountain views",House,Entire home/apt,3/20/17,2017-03-20,5-22-19,2019-05-22,50.14241,-122.96656,17845152,43826887
ab-16162342,'Glaciers Reach' Modern 2 bedroom in Village,Townhouse,Entire home/apt,11/26/16,2016-11-26,11-9-17,2017-11-09,50.12121398,-122.9556589,16162342,35393628
ab-10272402,"Golf, Bike & Family Adventure Zone",Condominium,Entire home/apt,12/30/15,2015-12-30,9-27-16,2016-09-27,50.1166952,-122.9480843,10272402,46867295
